Z_ion,Z_target,E_proj[keV/u],Cross_section[cm2],Uncertainty[%],is_exp,Theory_ID,DOI
1,1,1.000e+01,7.574e-18,0,0,CDW-EIS,_
1,1,2.000e+01,6.336e-17,0,0,CDW-EIS,_
1,1,3.000e+01,1.159e-16,0,0,CDW-EIS,_
1,1,4.000e+01,1.415e-16,0,0,CDW-EIS,_
1,1,5.000e+01,1.494e-16,0,0,CDW-EIS,_
1,1,6.000e+01,1.486e-16,0,0,CDW-EIS,_
1,1,7.000e+01,1.437e-16,0,0,CDW-EIS,_
1,1,8.000e+01,1.369e-16,0,0,CDW-EIS,_
1,1,9.000e+01,1.298e-16,0,0,CDW-EIS,_
1,1,1.000e+02,1.228e-16,0,0,CDW-EIS,_
1,1,2.000e+02,7.641e-17,0,0,CDW-EIS,_
1,1,3.000e+02,5.532e-17,0,0,CDW-EIS,_
1,1,4.000e+02,4.361e-17,0,0,CDW-EIS,_
1,1,5.000e+02,3.615e-17,0,0,CDW-EIS,_
1,1,6.000e+02,3.097e-17,0,0,CDW-EIS,_
1,1,7.000e+02,2.714e-17,0,0,CDW-EIS,_
1,1,8.000e+02,2.420e-17,0,0,CDW-EIS,_
1,1,9.000e+02,2.186e-17,0,0,CDW-EIS,_
1,1,1.000e+03,1.995e-17,0,0,CDW-EIS,_
1,1,2.000e+03,1.089e-17,0,0,CDW-EIS,_
1,1,3.000e+03,7.613e-18,0,0,CDW-EIS,_
1,1,4.000e+03,5.900e-18,0,0,CDW-EIS,_
1,1,5.000e+03,4.839e-18,0,0,CDW-EIS,_
1,1,6.000e+03,4.115e-18,0,0,CDW-EIS,_
1,1,7.000e+03,3.587e-18,0,0,CDW-EIS,_
1,1,8.000e+03,3.185e-18,0,0,CDW-EIS,_
1,1,9.000e+03,2.868e-18,0,0,CDW-EIS,_
1,1,1.000e+04,2.612e-18,0,0,CDW-EIS,_
1,1,2.000e+04,1.412e-18,0,0,CDW-EIS,_
1,1,3.000e+04,9.895e-19,0,0,CDW-EIS,_
1,1,4.000e+04,7.711e-19,0,0,CDW-EIS,_
1,1,5.000e+04,6.371e-19,0,0,CDW-EIS,_
1,1,6.000e+04,5.463e-19,0,0,CDW-EIS,_
1,1,7.000e+04,4.805e-19,0,0,CDW-EIS,_
1,1,8.000e+04,4.306e-19,0,0,CDW-EIS,_
1,1,9.000e+04,3.914e-19,0,0,CDW-EIS,_
1,1,1.000e+05,3.598e-19,0,0,CDW-EIS,_
1,2,1.000e+01,1.152e-18,0,0,CDW-EIS,_
1,2,2.000e+01,1.689e-17,0,0,CDW-EIS,_
1,2,3.000e+01,4.367e-17,0,0,CDW-EIS,_
1,2,4.000e+01,6.704e-17,0,0,CDW-EIS,_
1,2,5.000e+01,8.300e-17,0,0,CDW-EIS,_
1,2,6.000e+01,9.276e-17,0,0,CDW-EIS,_
1,2,7.000e+01,9.793e-17,0,0,CDW-EIS,_
1,2,8.000e+01,9.963e-17,0,0,CDW-EIS,_
1,2,9.000e+01,9.964e-17,0,0,CDW-EIS,_
1,2,1.000e+02,9.818e-17,0,0,CDW-EIS,_
1,2,2.000e+02,7.257e-17,0,0,CDW-EIS,_
1,2,3.000e+02,5.515e-17,0,0,CDW-EIS,_
1,2,4.000e+02,4.451e-17,0,0,CDW-EIS,_
1,2,5.000e+02,3.743e-17,0,0,CDW-EIS,_
1,2,6.000e+02,3.240e-17,0,0,CDW-EIS,_
1,2,7.000e+02,2.863e-17,0,0,CDW-EIS,_
1,2,8.000e+02,2.569e-17,0,0,CDW-EIS,_
1,2,9.000e+02,2.334e-17,0,0,CDW-EIS,_
1,2,1.000e+03,2.140e-17,0,0,CDW-EIS,_
1,2,2.000e+03,1.200e-17,0,0,CDW-EIS,_
1,2,3.000e+03,8.505e-18,0,0,CDW-EIS,_
1,2,4.000e+03,6.648e-18,0,0,CDW-EIS,_
1,2,5.000e+03,5.488e-18,0,0,CDW-EIS,_
1,2,6.000e+03,4.689e-18,0,0,CDW-EIS,_
1,2,7.000e+03,4.104e-18,0,0,CDW-EIS,_
1,2,8.000e+03,3.657e-18,0,0,CDW-EIS,_
1,2,9.000e+03,3.302e-18,0,0,CDW-EIS,_
1,2,1.000e+04,3.014e-18,0,0,CDW-EIS,_
1,2,2.000e+04,1.655e-18,0,0,CDW-EIS,_
1,2,3.000e+04,1.168e-18,0,0,CDW-EIS,_
1,2,4.000e+04,9.150e-19,0,0,CDW-EIS,_
1,2,5.000e+04,7.589e-19,0,0,CDW-EIS,_
1,2,6.000e+04,6.526e-19,0,0,CDW-EIS,_
1,2,7.000e+04,5.754e-19,0,0,CDW-EIS,_
1,2,8.000e+04,5.167e-19,0,0,CDW-EIS,_
1,2,9.000e+04,4.706e-19,0,0,CDW-EIS,_
1,2,1.000e+05,4.333e-19,0,0,CDW-EIS,_
1,10,1.000e+01,7.242e-18,0,0,CDW-EIS,_
1,10,2.000e+01,6.154e-17,0,0,CDW-EIS,_
1,10,3.000e+01,1.348e-16,0,0,CDW-EIS,_
1,10,4.000e+01,1.959e-16,0,0,CDW-EIS,_
1,10,5.000e+01,2.388e-16,0,0,CDW-EIS,_
1,10,6.000e+01,2.667e-16,0,0,CDW-EIS,_
1,10,7.000e+01,2.835e-16,0,0,CDW-EIS,_
1,10,8.000e+01,2.914e-16,0,0,CDW-EIS,_
1,10,9.000e+01,2.946e-16,0,0,CDW-EIS,_
1,10,1.000e+02,2.936e-16,0,0,CDW-EIS,_
1,10,2.000e+02,2.349e-16,0,0,CDW-EIS,_
1,10,3.000e+02,1.853e-16,0,0,CDW-EIS,_
1,10,4.000e+02,1.526e-16,0,0,CDW-EIS,_
1,10,5.000e+02,1.300e-16,0,0,CDW-EIS,_
1,10,6.000e+02,1.136e-16,0,0,CDW-EIS,_
