Z_ion,Z_target,E_proj[keV/u],Theory_ID,Cross_section[cm2],is_exp,Uncertainty[%]
1,1,255.7720,Exp_1960Fite,5.00E-17,1,50
1,1,751.6570,Exp_1960Fite,9.94E-17,1,21
1,1,2301.950,Exp_1960Fite,1.36E-16,1,18
1,1,5016.269,Exp_1960Fite,1.51E-16,1,19
1,1,8774.555,Exp_1960Fite,1.50E-16,1,17
1,1,60.0770,Exp_1963Gilbody,1.91452e-16,1,20
1,1,83.5050,Exp_1963Gilbody,1.60523e-16,1,20
1,1,83.6270,Exp_1963Gilbody,1.78563e-16,1,20
1,1,95.7370,Exp_1963Gilbody,1.46880e-16,1,20
1,1,108.822,Exp_1963Gilbody,1.40124e-16,1,20
1,1,109.098,Exp_1963Gilbody,1.21069e-16,1,20
1,1,128.624,Exp_1963Gilbody,1.10632e-16,1,20
1,1,160.079,Exp_1963Gilbody,1.01756e-16,1,20
1,1,178.745,Exp_1963Gilbody,0.83621e-16,1,20
1,1,184.055,Exp_1963Gilbody,0.92108e-16,1,20
1,1,198.482,Exp_1963Gilbody,0.74602e-16,1,20
1,1,225.422,Exp_1963Gilbody,0.85209e-16,1,20
1,1,225.697,Exp_1963Gilbody,0.65951e-16,1,20
1,1,259.745,Exp_1963Gilbody,0.82197e-16,1,20
1,1,270.705,Exp_1963Gilbody,0.59642e-16,1,20
1,1,298.763,Exp_1963Gilbody,0.56256e-16,1,20
1,1,333.699,Exp_1963Gilbody,0.54255e-16,1,20
1,1,368.648,Exp_1963Gilbody,0.54280e-16,1,20
2,2,45.0,Exp_1969Pucket,1.37e-16,1,5
2,2,50.0,Exp_1969Pucket,1.55e-16,1,5
2,2,62.5,Exp_1969Pucket,1.93e-16,1,5
2,2,75.0,Exp_1969Pucket,2.21e-16,1,5
2,2,87.5,Exp_1969Pucket,2.44e-16,1,5
2,2,100.0,Exp_1969Pucket,2.47e-16,1,5
2,2,125.0,Exp_1969Pucket,2.51e-16,1,5
2,2,150.0,Exp_1969Pucket,2.50e-16,1,5
2,2,175.0,Exp_1969Pucket,2.43e-16,1,5
2,2,200.0,Exp_1969Pucket,2.30e-16,1,5
2,2,225.0,Exp_1969Pucket,2.19e-16,1,5
2,2,250.0,Exp_1969Pucket,2.06e-16,1,5
2,18,50.0,Exp_1969Pucket,16.3e-16,1,5
2,18,62.5,Exp_1969Pucket,16.8e-16,1,5
2,18,75.0,Exp_1969Pucket,17.2e-16,1,5
2,18,87.5,Exp_1969Pucket,17.3e-16,1,5
2,18,100.0,Exp_1969Pucket,17.3e-16,1,5
2,18,125.0,Exp_1969Pucket,16.7e-16,1,5
2,18,150.0,Exp_1969Pucket,16.2e-16,1,5
2,18,175.0,Exp_1969Pucket,15.6e-16,1,5
