Z_ion,Z_target,E_proj[keV/u],Cross_section[cm2],Uncertainty[%],is_exp,Theory_ID,DOI
1,1,0.1,1.035e-18,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,10.12,6.415e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,20.14,1.042e-16,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,30.16,1.258e-16,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,40.18,1.347e-16,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,50.2,1.361e-16,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,60.22,1.333e-16,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,70.24,1.286e-16,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,80.26,1.23e-16,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,90.28,1.172e-16,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,100.3,1.116e-16,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,110.3,1.062e-16,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,120.3,1.011e-16,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,130.4,9.637e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,140.4,9.2e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,150.4,8.796e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,160.4,8.424e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,170.4,8.079e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,180.5,7.761e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,190.5,7.465e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,200.5,7.191e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,210.5,6.937e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,220.5,6.699e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,230.6,6.477e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,240.6,6.27e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,250.6,6.076e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,260.6,5.893e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,270.6,5.722e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,280.7,5.56e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,290.7,5.408e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,300.7,5.264e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,310.7,5.127e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,320.7,4.998e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,330.8,4.876e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,340.8,4.759e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,350.8,4.648e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,360.8,4.543e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,370.8,4.442e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,380.9,4.346e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,390.9,4.254e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,400.9,4.166e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,410.9,4.082e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,420.9,4.001e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,431.0,3.924e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,441.0,3.849e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,451.0,3.778e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,461.0,3.709e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,471.0,3.643e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,481.1,3.579e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,491.1,3.518e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,501.1,3.459e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,511.1,3.402e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,521.1,3.347e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,531.2,3.293e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,541.2,3.242e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,551.2,3.192e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,561.2,3.143e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,571.2,3.097e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,581.3,3.051e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,591.3,3.007e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,601.3,2.965e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,611.3,2.923e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,621.3,2.883e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,631.3,2.844e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,641.4,2.806e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,651.4,2.769e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,661.4,2.734e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,671.4,2.699e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,681.4,2.665e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,691.5,2.632e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,701.5,2.599e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,711.5,2.568e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,721.5,2.537e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,731.5,2.508e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,741.6,2.479e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,751.6,2.45e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
1,1,761.6,2.422e-17,0,0,Semiempiric_1985Rudd,https://doi.org/10.1103/RevModPhys.57.965
