Z_ion,Z_target,E_proj[keV/u],Cross_section[cm2],Uncertainty[%],is_exp,Theory_ID
1,1,1.e+0,8.352e-18,0,0,Semiempiric_1985Rudd
1,1,2.e+0,1.563e-17,0,0,Semiempiric_1985Rudd
1,1,3.e+0,2.249e-17,0,0,Semiempiric_1985Rudd
1,1,4.e+0,2.906e-17,0,0,Semiempiric_1985Rudd
1,1,5.e+0,3.538e-17,0,0,Semiempiric_1985Rudd
1,1,6.e+0,4.146e-17,0,0,Semiempiric_1985Rudd
1,1,7.e+0,4.731e-17,0,0,Semiempiric_1985Rudd
1,1,8.e+0,5.294e-17,0,0,Semiempiric_1985Rudd
1,1,9.e+0,5.836e-17,0,0,Semiempiric_1985Rudd
1,1,1.e+1,6.355e-17,0,0,Semiempiric_1985Rudd
1,1,2.e+1,1.038e-16,0,0,Semiempiric_1985Rudd
1,1,3.e+1,1.256e-16,0,0,Semiempiric_1985Rudd
1,1,4.e+1,1.346e-16,0,0,Semiempiric_1985Rudd
1,1,5.e+1,1.361e-16,0,0,Semiempiric_1985Rudd
1,1,6.e+1,1.334e-16,0,0,Semiempiric_1985Rudd
1,1,7.e+1,1.287e-16,0,0,Semiempiric_1985Rudd
1,1,8.e+1,1.232e-16,0,0,Semiempiric_1985Rudd
1,1,9.e+1,1.174e-16,0,0,Semiempiric_1985Rudd
1,1,1.e+2,1.117e-16,0,0,Semiempiric_1985Rudd
1,1,2.e+2,7.205e-17,0,0,Semiempiric_1985Rudd
1,1,3.e+2,5.273e-17,0,0,Semiempiric_1985Rudd
1,1,4.e+2,4.174e-17,0,0,Semiempiric_1985Rudd
1,1,5.e+2,3.465e-17,0,0,Semiempiric_1985Rudd
1,1,6.e+2,2.970e-17,0,0,Semiempiric_1985Rudd
1,1,7.e+2,2.604e-17,0,0,Semiempiric_1985Rudd
1,1,8.e+2,2.322e-17,0,0,Semiempiric_1985Rudd
1,1,9.e+2,2.098e-17,0,0,Semiempiric_1985Rudd
1,1,1.e+3,1.915e-17,0,0,Semiempiric_1985Rudd
1,1,2.e+3,1.044e-17,0,0,Semiempiric_1985Rudd
1,1,3.e+3,7.293e-18,0,0,Semiempiric_1985Rudd
1,1,4.e+3,5.646e-18,0,0,Semiempiric_1985Rudd
1,1,5.e+3,4.627e-18,0,0,Semiempiric_1985Rudd
1,1,6.e+3,3.930e-18,0,0,Semiempiric_1985Rudd
1,1,7.e+3,3.423e-18,0,0,Semiempiric_1985Rudd
1,1,8.e+3,3.036e-18,0,0,Semiempiric_1985Rudd
1,1,9.e+3,2.731e-18,0,0,Semiempiric_1985Rudd
1,1,1.e+4,2.484e-18,0,0,Semiempiric_1985Rudd
