Z_ion,Z_target,E_proj[keV/u],Theory_ID,Cross_section[cm2],is_exp,Uncertainty[%]
1,1,14.849624,CTMC,2.0498045030168806e-17,0,0
1,1,19.477272,CTMC,3.4239205374314226e-17,0,0
1,1,25.482935,CTMC,5.643628913599399e-17,0,0
1,1,33.38277,CTMC,9.020005018598173e-17,0,0
1,1,43.72465,CTMC,1.2605841783604716e-16,0,0
1,1,57.260944,CTMC,1.5093829972631553e-16,0,0
1,1,74.938065,CTMC,1.4368261917719194e-16,0,0
1,1,98.13276,CTMC,1.2566965551469959e-16,0,0
1,1,128.61028,CTMC,1.0269018255328102e-16,0,0
1,1,168.35114,CTMC,8.158617845961996e-17,0,0
1,1,220.50172,CTMC,6.410290634986491e-17,0,0
1,1,288.7783,CTMC,4.878552318365143e-17,0,0
1,1,378.20667,CTMC,3.8124775221712785e-17,0,0
1,1,495.1275,CTMC,2.9163263879028986e-17,0,0
1,1,648.47766,CTMC,2.2338322008944018e-17,0,0
1,1,849.3619,CTMC,1.6912546145972812e-17,0,0
1,1,1112.3691,CTMC,1.3214897787301898e-17,0,0
1,1,1456.5941,CTMC,9.94039328014628e-18,0,0
1,1,1907.3517,CTMC,7.58912166910036e-18,0,0
1,1,2498.082,CTMC,5.4454938123772e-18,0,0
2,1,14.849624,CTMC,1.3440419587402967e-17,0,0
2,1,19.477272,CTMC,2.1166697802780744e-17,0,0
2,1,25.482935,CTMC,4.1662963542997307e-17,0,0
2,1,33.38277,CTMC,9.01471643629459e-17,0,0
2,1,43.72465,CTMC,1.773560812898091e-16,0,0
2,1,57.260944,CTMC,2.9840119511519007e-16,0,0
2,1,74.938065,CTMC,3.7290308464688115e-16,0,0
2,1,98.13276,CTMC,3.862755681885786e-16,0,0
2,1,128.61028,CTMC,3.5247610742772044e-16,0,0
2,1,168.35114,CTMC,2.976300805528274e-16,0,0
2,1,220.50172,CTMC,2.394161480684023e-16,0,0
2,1,288.7783,CTMC,1.8759677443785648e-16,0,0
2,1,378.20667,CTMC,1.4591767868882015e-16,0,0
2,1,495.1275,CTMC,1.1319694732238518e-16,0,0
2,1,648.47766,CTMC,8.791407800718224e-17,0,0
2,1,849.3619,CTMC,6.670489946075573e-17,0,0
2,1,1112.3691,CTMC,5.207001209649734e-17,0,0
2,1,1456.5941,CTMC,4.022704137723399e-17,0,0
2,1,1907.3517,CTMC,3.030785731084313e-17,0,0
2,1,2498.082,CTMC,2.3066159622475344e-17,0,0
3,1,14.849624,CTMC,1.1245913771101592e-17,0,0
3,1,19.477272,CTMC,1.461576811564836e-17,0,0
3,1,25.482935,CTMC,2.9660249908201165e-17,0,0
3,1,33.38277,CTMC,7.151855812316982e-17,0,0
3,1,43.72465,CTMC,1.6588160836053452e-16,0,0
3,1,57.260944,CTMC,3.507115120652577e-16,0,0
3,1,74.938065,CTMC,5.418415666410744e-16,0,0
3,1,98.13276,CTMC,6.447764472695316e-16,0,0
3,1,128.61028,CTMC,6.461218542995089e-16,0,0
3,1,168.35114,CTMC,5.935768147993238e-16,0,0
3,1,220.50172,CTMC,4.954745932678265e-16,0,0
3,1,288.7783,CTMC,3.9927364459421617e-16,0,0
3,1,378.20667,CTMC,3.1537079345573486e-16,0,0
3,1,495.1275,CTMC,2.4523446296996687e-16,0,0
3,1,648.47766,CTMC,1.9231075871741082e-16,0,0
3,1,849.3619,CTMC,1.4982957295557535e-16,0,0
3,1,1112.3691,CTMC,1.1394697793030327e-16,0,0
3,1,1456.5941,CTMC,8.905179824125232e-17,0,0
3,1,1907.3517,CTMC,6.69510048916474e-17,0,0
3,1,2498.082,CTMC,5.178539532086331e-17,0,0
4,1,14.849624,CTMC,7.696396151685143e-18,0,0
4,1,19.477272,CTMC,1.1379234644612326e-17,0,0
4,1,25.482935,CTMC,2.459911180359238e-17,0,0
4,1,33.38277,CTMC,5.704359856336666e-17,0,0
4,1,43.72465,CTMC,1.4437400204037311e-16,0,0
4,1,57.260944,CTMC,3.4478455154793765e-16,0,0
4,1,74.938065,CTMC,6.422840744674083e-16,0,0
4,1,98.13276,CTMC,8.633750312476815e-16,0,0
4,1,128.61028,CTMC,9.58032327727038e-16,0,0
4,1,168.35114,CTMC,9.175563847231135e-16,0,0
